area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus_furnished,furnishingstatus_semi-furnished,furnishingstatus_unfurnished
8800,3,2,2,1,0,0,0,1,2,0,True,False,False
8500,3,2,4,1,0,0,0,1,2,0,True,False,False
5880,2,1,1,1,0,0,0,0,0,0,False,False,True
13200,2,1,1,1,0,1,1,0,1,0,True,False,False
4510,4,2,2,1,0,1,0,0,0,0,False,True,False
4075,3,1,1,1,1,1,0,0,2,0,False,True,False
3510,3,1,2,1,0,0,0,0,0,0,False,True,False
2856,3,1,3,1,0,0,0,0,0,1,True,False,False
6000,4,2,4,1,0,0,0,0,1,0,False,True,False
4500,4,2,1,0,0,1,0,1,2,0,False,True,False
6600,3,1,1,1,1,1,0,0,0,1,True,False,False
3510,3,1,3,1,0,0,0,0,0,0,False,True,False
4560,3,2,2,1,1,1,0,1,1,0,True,False,False
3480,2,1,1,1,0,0,0,0,1,0,False,True,False
2398,3,1,1,1,0,0,0,0,0,1,False,True,False
3500,2,1,1,1,1,0,0,0,0,0,False,False,True
7500,3,3,1,1,0,1,0,1,2,1,False,True,False
6900,3,2,1,1,1,1,0,0,0,1,False,False,True
6000,3,2,3,1,0,0,0,1,0,0,False,True,False
6060,2,1,1,1,0,1,0,0,1,0,False,True,False
3600,3,1,1,1,0,1,0,1,0,1,True,False,False
6600,4,2,2,1,1,1,0,1,1,1,False,False,True
4300,3,2,2,1,0,1,0,0,1,0,False,False,True
4770,3,1,1,1,1,1,0,0,0,0,False,True,False
4040,2,1,1,1,0,0,0,0,0,0,False,False,True
7500,4,2,2,1,0,1,0,1,3,1,True,False,False
4950,4,1,2,1,0,0,0,1,0,0,False,True,False
5300,5,2,2,1,0,0,0,0,0,0,False,True,False
6000,3,2,2,1,1,0,0,0,1,0,False,True,False
7686,3,1,1,1,1,1,1,0,0,0,False,True,False
3264,2,1,1,1,0,0,0,0,0,0,False,False,True
6600,3,1,1,1,1,1,0,0,2,1,False,True,False
4050,2,1,1,1,0,0,0,0,0,0,True,False,False
3640,3,2,2,1,0,1,0,0,0,0,False,False,True
5500,4,2,2,1,0,1,0,1,1,1,False,True,False
3880,3,2,2,1,0,1,0,0,2,0,False,True,False
12900,3,1,1,1,0,0,0,0,2,0,True,False,False
6000,3,2,4,1,1,1,0,1,0,1,False,True,False
16200,5,3,2,1,0,0,0,0,0,0,False,False,True
7200,3,1,2,1,1,1,0,0,1,1,True,False,False
7440,3,2,4,1,0,0,0,0,1,1,False,False,True
3240,4,1,3,1,0,0,0,0,1,0,False,True,False
9000,4,2,4,1,0,0,0,1,2,0,True,False,False
2817,4,2,2,0,1,1,0,0,1,0,True,False,False
4840,2,1,2,1,0,0,0,0,0,0,False,False,True
6420,3,1,1,1,0,1,0,1,0,1,True,False,False
2145,3,1,3,1,0,0,0,0,0,1,True,False,False
6800,2,1,1,1,1,1,0,0,2,0,True,False,False
3210,3,1,2,1,0,1,0,0,0,0,False,False,True
5400,4,1,2,1,0,0,0,0,0,0,False,True,False
9800,4,2,2,1,1,0,0,0,2,0,False,True,False
4500,2,1,1,1,0,0,0,0,0,0,False,True,False
4320,3,1,1,1,0,0,0,0,0,1,False,True,False
4700,4,1,2,1,1,1,0,1,1,0,True,False,False
8150,3,2,1,1,1,1,0,0,0,0,False,True,False
4120,2,1,2,1,0,0,0,0,0,0,False,False,True
3480,4,1,2,0,0,0,0,0,1,0,False,True,False
4100,2,2,1,1,1,1,0,0,0,0,False,True,False
5850,2,1,1,1,1,1,0,0,2,0,False,True,False
4785,3,1,2,1,1,1,0,1,1,0,True,False,False
4000,3,1,2,1,0,0,0,1,0,0,False,False,True
6660,4,2,2,1,1,1,0,0,1,1,False,True,False
3450,3,1,1,1,0,1,0,0,2,0,False,False,True
7700,3,2,1,1,0,0,0,0,2,0,False,False,True
4500,2,1,1,1,0,0,0,1,2,0,True,False,False
6000,2,1,1,1,0,1,0,1,1,0,True,False,False
4260,4,1,2,1,0,1,0,1,0,0,True,False,False
5720,2,1,2,1,0,0,0,1,0,1,False,False,True
3960,3,1,2,1,0,0,0,0,0,0,True,False,False
4040,2,1,1,1,0,0,0,0,1,0,False,False,True
4000,2,1,1,1,0,0,0,0,0,0,False,False,True
4800,2,1,1,1,1,1,0,0,0,0,False,True,False
4000,3,2,2,1,0,1,0,1,1,0,False,True,False
6615,4,2,2,1,1,0,1,0,1,0,False,True,False
5500,3,1,2,1,0,0,0,1,0,0,False,False,True
5000,3,1,4,1,0,0,0,0,0,0,True,False,False
4800,3,2,4,1,1,0,0,1,0,0,True,False,False
5400,5,1,2,1,1,1,0,1,0,1,True,False,False
4500,2,1,2,1,0,0,1,0,1,0,False,True,False
3500,2,1,1,0,0,1,0,0,0,0,False,True,False
8250,3,1,1,1,0,0,0,0,0,0,True,False,False
3400,3,1,2,1,0,1,0,0,2,1,False,True,False
3060,3,1,1,1,0,0,0,0,0,0,False,False,True
4032,2,1,1,1,0,1,0,0,0,0,True,False,False
6350,3,2,3,1,1,0,0,1,0,0,True,False,False
3460,3,2,1,1,0,1,0,1,1,0,True,False,False
4040,3,1,2,1,0,1,1,0,1,0,True,False,False
4820,3,1,2,1,0,0,0,0,0,0,False,True,False
2475,3,1,2,1,0,0,0,0,0,0,True,False,False
7020,3,1,1,1,0,1,0,1,2,1,False,True,False
4340,3,1,1,1,0,0,0,0,0,0,False,True,False
3780,2,1,2,1,1,1,0,0,0,0,False,True,False
12944,3,1,1,1,0,0,0,0,0,0,False,False,True
5200,4,1,3,1,0,0,0,0,0,0,False,False,True
2610,4,3,2,0,0,0,0,0,0,0,False,True,False
3600,3,1,2,0,0,0,0,0,1,0,False,False,True
3290,2,1,1,1,0,0,1,0,1,0,True,False,False
2145,3,1,2,1,0,1,0,0,0,1,True,False,False
5985,3,1,1,1,0,1,0,0,0,0,False,True,False
7482,3,2,3,1,0,0,1,0,1,1,True,False,False
6360,3,1,1,1,1,1,0,1,2,1,True,False,False
3520,2,1,2,1,0,0,0,0,0,1,True,False,False
3630,3,2,2,1,0,0,1,0,2,0,False,True,False
6000,3,2,4,1,1,0,0,1,1,0,True,False,False
8372,3,1,3,1,0,0,0,1,2,0,False,False,True
5800,3,1,1,1,0,0,1,0,2,0,False,True,False
2953,3,1,2,1,0,1,0,1,0,0,False,False,True
3750,2,1,1,1,1,1,0,0,0,0,False,True,False
3850,3,1,1,1,0,0,0,0,0,0,False,False,True
5136,3,1,2,1,1,1,0,1,0,1,False,False,True
4880,3,1,1,1,0,0,0,0,2,1,False,False,True
3792,4,1,2,1,0,0,0,0,0,0,False,True,False
6000,3,1,4,1,1,0,0,1,2,0,False,False,True
2520,5,2,1,0,0,1,0,1,1,0,True,False,False
5948,3,1,2,1,0,0,0,1,0,0,False,True,False
2145,3,1,3,1,0,0,0,0,0,1,True,False,False
10500,2,1,1,1,0,0,0,0,1,0,False,True,False
3986,2,2,1,0,1,1,0,0,1,0,False,False,True
5500,3,2,2,1,0,0,0,0,1,0,False,True,False
8250,3,1,1,1,0,0,0,0,2,0,True,False,False
5400,3,1,1,1,0,0,0,0,3,0,False,True,False
7320,4,2,2,1,0,0,0,0,0,0,True,False,False
2700,2,1,1,0,0,0,0,0,0,0,True,False,False
9000,3,1,1,1,0,1,0,0,1,1,True,False,False
4800,5,2,3,0,0,1,1,0,0,0,False,False,True
4000,3,1,2,1,0,0,0,0,1,0,True,False,False
3630,4,1,2,1,0,0,0,0,3,0,False,True,False
6400,3,1,1,1,1,1,0,1,1,1,False,True,False
1650,3,1,2,0,0,1,0,0,0,0,False,False,True
4410,2,1,1,0,0,0,0,0,1,0,False,False,True
7350,2,1,1,1,0,0,0,0,1,0,False,True,False
6254,4,2,1,1,0,1,0,0,1,1,False,True,False
7980,3,1,1,1,0,0,0,0,1,1,False,True,False
4120,2,1,1,1,0,1,0,0,1,0,False,True,False
3520,3,1,1,1,0,0,0,0,0,1,False,True,False
2176,2,1,2,1,1,0,0,0,0,1,False,True,False
8080,3,1,1,1,0,0,0,1,2,0,False,True,False
3512,2,1,1,1,0,0,0,0,1,1,False,False,True
4000,2,1,1,1,0,0,0,0,0,0,False,False,True
3450,3,1,2,1,0,1,0,0,0,0,False,True,False
4320,3,1,2,1,0,0,0,0,2,1,True,False,False
15600,3,1,1,1,0,0,0,1,2,0,False,True,False
7152,3,1,2,1,0,0,0,1,0,0,True,False,False
6321,3,1,2,1,0,1,0,1,1,0,True,False,False
3000,3,1,2,0,0,0,0,0,0,0,False,True,False
7000,3,1,2,1,0,1,0,0,0,0,False,False,True
11460,3,1,3,1,0,0,0,0,2,1,False,True,False
4960,2,1,1,1,0,0,0,0,0,0,False,False,True
3460,4,1,2,1,0,0,0,1,0,0,False,True,False
3000,2,1,1,0,0,0,0,0,0,0,False,False,True
3630,2,1,1,1,0,0,0,0,0,0,False,False,True
5400,4,1,2,1,0,0,0,0,0,0,False,False,True
4900,3,1,2,0,0,0,0,0,0,0,False,False,True
5500,4,1,2,1,1,1,0,0,0,0,False,True,False
4000,4,2,2,0,0,0,0,0,0,0,False,True,False
3640,2,1,1,1,0,0,0,0,0,0,True,False,False
4500,2,1,1,0,0,0,0,0,0,0,True,False,False
4500,2,1,1,0,0,0,0,0,0,0,False,True,False
4300,6,2,2,1,0,0,0,0,0,0,True,False,False
3180,3,2,2,1,0,0,0,0,2,0,False,True,False
3150,2,2,1,0,0,1,0,0,0,0,False,True,False
4500,4,2,2,1,0,1,0,0,2,0,True,False,False
3520,2,2,1,1,0,1,0,0,0,0,False,True,False
4040,2,1,2,1,0,0,0,0,1,0,False,True,False
4400,4,1,2,1,0,0,0,1,2,1,False,True,False
4095,2,1,1,1,0,0,0,0,2,0,False,True,False
4160,3,1,1,1,1,1,0,1,0,0,False,False,True
3600,2,1,1,1,0,0,0,0,0,0,False,False,True
5830,2,1,1,1,0,0,0,0,2,0,False,False,True
6710,3,2,2,1,1,1,0,0,1,1,True,False,False
4992,3,2,2,1,0,0,0,0,2,0,False,False,True
5400,4,2,2,1,0,0,0,1,2,0,False,False,True
2800,3,2,2,0,0,1,0,1,1,0,False,True,False
4040,3,1,2,1,0,0,0,0,1,0,False,True,False
3745,3,1,2,1,0,1,0,0,0,0,True,False,False
8000,3,1,1,1,1,1,0,1,2,1,False,True,False
6540,3,1,1,1,1,1,0,0,2,1,True,False,False
3640,2,1,1,1,0,0,0,0,1,0,False,True,False
10240,2,1,1,1,0,0,0,1,2,1,False,False,True
3000,3,1,1,0,0,0,0,1,0,0,False,False,True
4000,2,1,1,1,0,0,0,0,0,1,False,True,False
3350,3,1,2,1,0,0,0,0,0,0,False,False,True
6500,3,2,3,1,0,0,0,1,0,0,False,False,True
3360,2,1,1,1,0,0,0,0,1,0,False,False,True
6650,3,1,2,1,1,0,0,0,0,0,False,True,False
2650,3,1,2,1,0,1,0,0,1,0,False,False,True
2835,2,1,1,1,0,0,0,0,0,0,False,True,False
6420,3,1,3,1,0,1,0,0,0,1,False,False,True
4750,2,1,1,1,0,0,0,0,0,0,False,False,True
3600,2,1,1,1,0,0,0,0,0,0,True,False,False
4800,3,1,3,1,0,0,0,1,0,0,False,False,True
3180,2,1,1,1,0,0,0,0,0,0,False,False,True
6000,4,2,4,1,0,0,0,1,1,0,True,False,False
6540,4,2,2,0,0,0,0,1,0,0,False,True,False
8880,3,2,2,1,0,1,0,1,1,0,True,False,False
4360,4,1,2,1,0,0,0,0,0,0,True,False,False
8250,3,2,3,1,0,0,0,1,0,0,True,False,False
3640,3,1,2,1,0,0,0,1,0,0,True,False,False
11410,2,1,2,1,0,0,0,0,0,1,True,False,False
5880,3,1,1,1,0,0,0,0,1,0,False,False,True
3150,3,2,1,1,1,1,0,1,0,0,True,False,False
6550,4,2,2,1,0,0,0,1,1,1,False,True,False
7000,3,2,4,1,0,0,0,1,2,0,True,False,False
7950,5,2,2,1,0,1,1,0,2,0,False,False,True
5500,3,2,1,1,0,1,0,0,0,0,False,True,False
10500,4,2,2,1,0,0,0,0,1,0,False,True,False
3069,2,1,1,1,0,0,0,0,1,0,False,False,True
3850,3,1,1,1,0,0,0,0,2,0,False,False,True
3420,4,2,2,1,0,0,0,0,0,0,False,True,False
4100,3,2,3,1,0,0,0,1,2,0,False,True,False
6325,3,1,4,1,0,0,0,1,1,0,False,False,True
3840,3,1,2,1,0,0,0,0,1,1,False,True,False
3750,3,1,1,1,0,0,0,0,0,0,False,False,True
3600,2,1,1,1,0,0,0,0,0,0,False,True,False
6060,3,1,1,1,1,1,0,0,0,0,True,False,False
7085,3,1,1,1,1,1,0,0,2,1,False,True,False
3120,3,1,2,0,0,0,0,0,0,0,True,False,False
6360,3,2,4,1,0,0,0,1,0,1,True,False,False
4000,3,1,2,1,0,0,0,0,1,0,False,False,True
4370,3,1,2,1,0,0,0,0,0,0,False,False,True
5800,2,1,1,1,1,1,0,1,0,0,False,True,False
3990,3,1,2,1,0,0,0,0,0,0,False,True,False
2175,3,1,2,0,1,1,0,1,0,0,False,False,True
3480,2,1,1,1,0,0,0,0,0,1,False,True,False
5900,2,1,1,1,0,0,0,0,1,0,True,False,False
4510,4,1,2,1,0,0,0,1,2,0,False,True,False
4600,2,1,1,1,0,0,0,0,0,0,True,False,False
7420,4,1,2,1,1,1,0,1,2,0,True,False,False
4000,3,1,2,1,0,0,0,0,2,0,True,False,False
3600,2,2,2,1,0,1,0,0,1,0,True,False,False
6600,3,2,1,1,0,1,0,1,0,1,False,False,True
5170,3,1,4,1,0,0,0,1,0,0,False,True,False
4400,2,1,1,1,0,0,0,0,0,0,False,False,True
4995,4,2,1,1,0,1,0,0,0,0,False,True,False
3660,4,1,2,0,0,0,0,0,0,0,False,False,True
10269,3,1,1,1,0,0,0,0,1,1,False,True,False
6600,3,2,3,1,0,0,0,1,0,1,False,False,True
2747,4,2,2,0,0,0,0,0,0,0,False,True,False
4160,3,1,3,1,0,0,0,0,0,0,False,False,True
8880,2,1,1,1,0,0,0,1,1,0,False,True,False
5320,2,1,1,1,0,0,0,0,1,1,False,False,True
6600,3,1,4,1,0,0,0,1,3,1,True,False,False
4880,4,2,2,1,0,0,0,1,1,1,True,False,False
4920,3,1,2,1,0,0,0,0,1,0,False,True,False
6480,3,1,2,0,0,0,0,1,1,0,False,True,False
4520,3,1,2,1,0,1,0,1,0,0,False,True,False
2910,2,1,1,0,0,0,0,0,0,0,False,False,True
8875,3,1,1,1,0,0,0,0,1,0,False,True,False
3300,3,1,2,0,0,0,0,0,1,0,False,True,False
5400,2,1,2,1,0,0,0,0,0,1,False,True,False
3162,3,1,2,1,0,0,0,1,1,0,True,False,False
2275,3,1,3,1,0,0,1,1,0,1,False,True,False
5040,3,1,2,1,0,1,0,1,0,0,False,False,True
3500,4,1,2,1,0,0,0,1,2,0,False,False,True
6600,4,2,2,1,1,1,0,0,0,1,False,True,False
3036,3,1,2,1,0,1,0,0,0,0,False,True,False
3150,3,1,2,0,0,0,0,0,0,0,False,False,True
5000,3,1,3,1,0,0,0,1,0,0,False,True,False
6240,4,2,2,1,0,0,0,1,1,0,True,False,False
6000,3,2,4,1,0,0,0,1,0,0,False,False,True
5500,3,1,3,1,1,0,0,1,1,0,True,False,False
3970,1,1,1,0,0,0,0,0,0,0,False,False,True
8100,4,1,2,1,1,1,0,1,2,1,True,False,False
4100,4,1,1,0,0,1,0,0,0,0,False,False,True
3850,2,1,1,1,0,0,0,0,0,0,False,True,False
11175,3,1,1,1,0,1,0,1,1,1,True,False,False
4079,3,1,3,1,0,0,0,0,0,0,False,True,False
7800,3,2,2,1,0,0,0,0,0,1,False,True,False
6900,3,1,1,1,1,1,0,0,0,1,False,True,False
6550,3,1,2,1,0,1,0,1,0,1,True,False,False
3520,3,1,1,1,0,0,0,0,2,1,False,False,True
6100,3,1,1,1,0,1,0,1,0,1,False,True,False
3000,4,1,2,1,0,0,0,0,0,0,False,False,True
6040,3,1,1,1,0,0,0,0,2,1,False,True,False
3185,2,1,1,1,0,0,0,0,2,0,False,False,True
6360,2,1,1,1,0,0,0,0,0,0,True,False,False
6800,2,1,1,1,0,0,0,0,0,0,False,False,True
4350,3,1,2,0,0,0,1,0,1,0,False,False,True
2145,4,2,1,1,0,1,0,0,0,1,False,False,True
2870,2,1,2,1,1,1,0,0,0,1,False,True,False
3000,3,1,2,1,0,1,0,1,0,0,False,True,False
3420,4,2,2,1,0,1,0,1,2,0,False,True,False
2325,3,1,2,0,0,0,0,0,0,0,False,True,False
4400,3,1,2,1,0,0,0,0,0,0,False,False,True
3450,3,1,2,1,0,1,0,0,1,0,False,True,False
3420,5,1,2,0,0,0,0,0,0,0,False,False,True
5495,3,1,1,1,0,1,0,0,0,0,False,False,True
3620,2,1,1,1,0,0,0,0,0,0,False,False,True
4500,3,1,1,1,0,1,0,0,0,0,True,False,False
3420,2,1,2,1,0,0,1,0,1,0,False,True,False
3900,3,1,2,1,0,0,0,0,0,0,False,False,True
3450,1,1,1,1,0,0,0,0,0,0,True,False,False
4095,3,1,2,0,1,1,0,1,0,0,False,True,False
6100,3,1,3,1,1,0,0,1,0,1,False,True,False
6000,4,2,4,1,0,0,0,0,2,0,False,True,False
6862,3,1,2,1,0,0,0,1,2,1,True,False,False
9500,3,1,2,1,0,0,0,0,3,1,False,False,True
7600,4,1,2,1,0,0,0,1,2,0,True,False,False
4632,4,1,2,1,0,0,0,1,0,0,False,True,False
6360,2,1,1,1,0,1,0,1,1,0,True,False,False
4500,3,1,4,1,0,0,0,1,0,0,False,False,True
5150,3,2,4,1,0,0,0,1,2,0,False,True,False
4600,4,1,2,1,0,0,0,0,0,0,False,True,False
8960,4,4,4,1,0,0,0,1,3,0,True,False,False
2430,3,1,1,0,0,0,0,0,0,0,False,False,True
3600,3,1,1,1,0,0,0,0,1,0,False,False,True
7440,3,2,1,1,1,1,0,1,0,1,False,True,False
4960,4,1,3,0,0,0,0,0,0,0,False,True,False
6000,3,1,2,1,0,0,1,0,1,1,False,True,False
6300,3,1,1,1,0,0,0,1,2,0,False,True,False
6840,5,1,2,1,1,1,0,1,1,0,True,False,False
2500,2,1,1,0,0,0,0,1,0,0,False,False,True
3968,3,1,2,0,0,0,0,0,0,0,False,True,False
2145,3,1,2,1,0,1,0,0,0,1,True,False,False
4500,3,1,2,1,0,0,0,1,0,0,False,False,True
4320,3,1,1,0,0,0,0,0,1,0,False,False,True
3630,2,1,1,1,0,1,0,0,0,0,True,False,False
6750,2,1,1,1,1,1,0,0,2,1,True,False,False
3180,4,2,2,1,0,0,0,0,0,0,True,False,False
3640,2,1,1,1,0,0,0,0,0,0,False,False,True
6000,4,2,4,1,1,0,0,1,1,0,True,False,False
2015,3,1,2,1,0,1,0,0,0,1,False,True,False
4900,2,1,2,1,0,1,0,0,0,0,False,True,False
3760,3,1,1,1,0,0,0,0,2,0,False,True,False
3500,4,2,2,1,0,0,1,0,2,0,True,False,False
5600,2,1,1,1,0,0,0,1,0,0,False,True,False
7410,3,1,1,1,1,1,0,1,2,1,False,False,True
4240,3,1,2,1,0,0,0,1,0,0,False,True,False
3500,4,1,2,1,0,0,0,0,2,0,True,False,False
7800,3,1,1,1,0,1,0,1,2,1,False,False,True
4500,3,2,2,0,0,1,0,1,0,0,False,True,False
2990,2,1,1,0,0,0,0,0,1,0,False,False,True
7000,3,1,1,1,0,1,0,0,2,1,False,True,False
4840,3,1,2,1,0,0,0,0,1,0,False,True,False
3040,2,1,1,0,0,0,0,0,0,0,False,False,True
1950,3,1,1,0,0,0,1,0,0,0,False,False,True
3185,2,1,1,1,0,0,0,1,0,0,False,False,True
3000,4,1,3,1,0,1,0,1,2,0,False,True,False
2550,3,1,2,1,0,1,0,0,0,0,True,False,False
3540,2,1,1,0,1,1,0,0,0,0,False,True,False
3000,2,1,2,1,0,0,0,0,0,0,False,True,False
2880,3,1,1,0,0,0,0,0,0,0,False,False,True
7680,4,2,4,1,1,0,0,1,1,0,False,True,False
4352,4,1,2,0,0,0,0,0,1,0,False,False,True
9860,3,1,1,1,0,0,0,0,0,0,False,True,False
7155,3,2,1,1,1,1,0,1,2,0,False,False,True
3680,3,2,2,1,0,0,0,0,0,0,False,True,False
3500,2,1,1,1,0,0,0,0,0,0,False,False,True
6210,4,1,4,1,1,0,0,1,0,0,True,False,False
4400,2,1,1,1,0,0,0,0,1,0,False,True,False
10700,3,1,2,1,1,1,0,0,0,0,False,True,False
3640,2,1,1,1,0,0,0,0,0,0,False,False,True
1950,3,2,2,1,0,1,0,0,0,1,False,False,True
2640,2,1,1,0,0,0,0,0,1,0,True,False,False
4080,2,1,1,1,0,0,0,0,0,0,False,True,False
4046,3,1,2,1,0,1,0,0,1,0,False,True,False
4800,3,1,1,1,1,1,0,0,0,0,False,False,True
6000,4,1,3,1,1,1,0,0,0,1,False,False,True
3180,3,1,2,0,0,1,0,0,0,0,False,True,False
3960,3,1,1,1,0,1,0,0,2,0,False,True,False
3850,3,1,2,1,0,0,0,0,0,0,False,False,True
4050,2,1,2,1,1,1,0,0,0,1,False,False,True
4350,2,1,1,1,0,1,0,0,0,0,False,False,True
3090,3,1,2,0,0,0,0,0,0,0,False,True,False
7231,3,1,2,1,1,1,0,1,0,1,False,True,False
4320,3,1,2,1,0,1,1,0,2,0,False,True,False
6000,4,2,4,1,0,0,0,1,0,0,False,False,True
5450,4,2,1,1,0,1,0,1,0,1,False,True,False
4500,3,2,3,1,0,0,1,0,1,0,True,False,False
4040,2,1,1,1,0,0,0,0,0,0,False,False,True
5500,3,2,4,1,1,0,0,1,1,0,False,True,False
